energy_consumption_kwh,hour,client_id,date,ext_dev_ref,energy_consumption,resolution,date_dt,timestamp_local,timestamp_utc,location_id,meter_id,year,month,day,hour_of_day,day_of_week,quarter,is_weekend,season,time_period,load_period,data_quality_flag,daily_total_kwh,daily_avg_kwh,consumption_vs_daily_avg
100.0,11,111111,2022-01-01,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-01,2022-01-01 11:00:00+02:00,2022-01-01 09:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,1.0,11.0,5.0,1.0,True,winter,peak,weekend,valid,2400.0,100.0,1.0
100.0,12,111111,2022-01-01,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-01,2022-01-01 12:00:00+02:00,2022-01-01 10:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,1.0,12.0,5.0,1.0,True,winter,peak,weekend,valid,2400.0,100.0,1.0
100.0,13,111111,2022-01-01,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-01,2022-01-01 13:00:00+02:00,2022-01-01 11:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,1.0,13.0,5.0,1.0,True,winter,peak,weekend,valid,2400.0,100.0,1.0
100.0,14,111111,2022-01-01,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-01,2022-01-01 14:00:00+02:00,2022-01-01 12:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,1.0,14.0,5.0,1.0,True,winter,peak,weekend,valid,2400.0,100.0,1.0
100.0,15,111111,2022-01-01,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-01,2022-01-01 15:00:00+02:00,2022-01-01 13:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,1.0,15.0,5.0,1.0,True,winter,peak,weekend,valid,2400.0,100.0,1.0
100.0,16,111111,2022-01-01,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-01,2022-01-01 16:00:00+02:00,2022-01-01 14:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,1.0,16.0,5.0,1.0,True,winter,peak,weekend,valid,2400.0,100.0,1.0
100.0,17,111111,2022-01-01,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-01,2022-01-01 17:00:00+02:00,2022-01-01 15:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,1.0,17.0,5.0,1.0,True,winter,peak,weekend,valid,2400.0,100.0,1.0
100.0,18,111111,2022-01-01,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-01,2022-01-01 18:00:00+02:00,2022-01-01 16:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,1.0,18.0,5.0,1.0,True,winter,peak,weekend,valid,2400.0,100.0,1.0
100.0,19,111111,2022-01-01,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-01,2022-01-01 19:00:00+02:00,2022-01-01 17:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,1.0,19.0,5.0,1.0,True,winter,peak,weekend,valid,2400.0,100.0,1.0
100.0,20,111111,2022-01-01,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-01,2022-01-01 20:00:00+02:00,2022-01-01 18:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,1.0,20.0,5.0,1.0,True,winter,peak,weekend,valid,2400.0,100.0,1.0
100.0,21,111111,2022-01-01,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-01,2022-01-01 21:00:00+02:00,2022-01-01 19:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,1.0,21.0,5.0,1.0,True,winter,peak,weekend,valid,2400.0,100.0,1.0
100.0,22,111111,2022-01-01,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-01,2022-01-01 22:00:00+02:00,2022-01-01 20:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,1.0,22.0,5.0,1.0,True,winter,peak,weekend,valid,2400.0,100.0,1.0
100.0,23,111111,2022-01-01,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-01,2022-01-01 23:00:00+02:00,2022-01-01 21:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,1.0,23.0,5.0,1.0,True,winter,off_peak,weekend,valid,2400.0,100.0,1.0
100.0,0,111111,2022-01-02,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-02,2022-01-02 00:00:00+02:00,2022-01-01 22:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,2.0,0.0,6.0,1.0,True,winter,off_peak,weekend,valid,2400.0,100.0,1.0
100.0,1,111111,2022-01-02,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-02,2022-01-02 01:00:00+02:00,2022-01-01 23:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,2.0,1.0,6.0,1.0,True,winter,off_peak,weekend,valid,2400.0,100.0,1.0
100.0,2,111111,2022-01-02,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-02,2022-01-02 02:00:00+02:00,2022-01-02 00:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,2.0,2.0,6.0,1.0,True,winter,off_peak,weekend,valid,2400.0,100.0,1.0
100.0,3,111111,2022-01-02,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-02,2022-01-02 03:00:00+02:00,2022-01-02 01:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,2.0,3.0,6.0,1.0,True,winter,off_peak,weekend,valid,2400.0,100.0,1.0
100.0,4,111111,2022-01-02,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-02,2022-01-02 04:00:00+02:00,2022-01-02 02:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,2.0,4.0,6.0,1.0,True,winter,off_peak,weekend,valid,2400.0,100.0,1.0
100.0,5,111111,2022-01-02,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-02,2022-01-02 05:00:00+02:00,2022-01-02 03:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,2.0,5.0,6.0,1.0,True,winter,off_peak,weekend,valid,2400.0,100.0,1.0
100.0,6,111111,2022-01-02,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-02,2022-01-02 06:00:00+02:00,2022-01-02 04:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,2.0,6.0,6.0,1.0,True,winter,off_peak,weekend,valid,2400.0,100.0,1.0
100.0,7,111111,2022-01-02,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-02,2022-01-02 07:00:00+02:00,2022-01-02 05:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,2.0,7.0,6.0,1.0,True,winter,peak,weekend,valid,2400.0,100.0,1.0
100.0,8,111111,2022-01-02,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-02,2022-01-02 08:00:00+02:00,2022-01-02 06:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,2.0,8.0,6.0,1.0,True,winter,peak,weekend,valid,2400.0,100.0,1.0
100.0,9,111111,2022-01-02,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-02,2022-01-02 09:00:00+02:00,2022-01-02 07:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,2.0,9.0,6.0,1.0,True,winter,peak,weekend,valid,2400.0,100.0,1.0
100.0,10,111111,2022-01-02,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-02,2022-01-02 10:00:00+02:00,2022-01-02 08:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,2.0,10.0,6.0,1.0,True,winter,peak,weekend,valid,2400.0,100.0,1.0
100.0,11,111111,2022-01-02,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-02,2022-01-02 11:00:00+02:00,2022-01-02 09:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,2.0,11.0,6.0,1.0,True,winter,peak,weekend,valid,2400.0,100.0,1.0
100.0,12,111111,2022-01-02,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-02,2022-01-02 12:00:00+02:00,2022-01-02 10:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,2.0,12.0,6.0,1.0,True,winter,peak,weekend,valid,2400.0,100.0,1.0
100.0,13,111111,2022-01-02,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-02,2022-01-02 13:00:00+02:00,2022-01-02 11:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,2.0,13.0,6.0,1.0,True,winter,peak,weekend,valid,2400.0,100.0,1.0
100.0,14,111111,2022-01-02,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-02,2022-01-02 14:00:00+02:00,2022-01-02 12:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,2.0,14.0,6.0,1.0,True,winter,peak,weekend,valid,2400.0,100.0,1.0
100.0,15,111111,2022-01-02,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-02,2022-01-02 15:00:00+02:00,2022-01-02 13:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,2.0,15.0,6.0,1.0,True,winter,peak,weekend,valid,2400.0,100.0,1.0
100.0,16,111111,2022-01-02,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-02,2022-01-02 16:00:00+02:00,2022-01-02 14:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,2.0,16.0,6.0,1.0,True,winter,peak,weekend,valid,2400.0,100.0,1.0
100.0,17,111111,2022-01-02,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-02,2022-01-02 17:00:00+02:00,2022-01-02 15:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,2.0,17.0,6.0,1.0,True,winter,peak,weekend,valid,2400.0,100.0,1.0
100.0,18,111111,2022-01-02,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-02,2022-01-02 18:00:00+02:00,2022-01-02 16:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,2.0,18.0,6.0,1.0,True,winter,peak,weekend,valid,2400.0,100.0,1.0
100.0,19,111111,2022-01-02,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-02,2022-01-02 19:00:00+02:00,2022-01-02 17:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,2.0,19.0,6.0,1.0,True,winter,peak,weekend,valid,2400.0,100.0,1.0
100.0,20,111111,2022-01-02,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-02,2022-01-02 20:00:00+02:00,2022-01-02 18:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,2.0,20.0,6.0,1.0,True,winter,peak,weekend,valid,2400.0,100.0,1.0
100.0,21,111111,2022-01-02,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-02,2022-01-02 21:00:00+02:00,2022-01-02 19:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,2.0,21.0,6.0,1.0,True,winter,peak,weekend,valid,2400.0,100.0,1.0
100.0,22,111111,2022-01-02,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-02,2022-01-02 22:00:00+02:00,2022-01-02 20:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,2.0,22.0,6.0,1.0,True,winter,peak,weekend,valid,2400.0,100.0,1.0
100.0,23,111111,2022-01-02,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-02,2022-01-02 23:00:00+02:00,2022-01-02 21:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,2.0,23.0,6.0,1.0,True,winter,off_peak,weekend,valid,2400.0,100.0,1.0
100.0,0,111111,2022-01-03,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-03,2022-01-03 00:00:00+02:00,2022-01-02 22:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,3.0,0.0,0.0,1.0,False,winter,off_peak,off_peak,valid,2400.0,100.0,1.0
100.0,1,111111,2022-01-03,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-03,2022-01-03 01:00:00+02:00,2022-01-02 23:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,3.0,1.0,0.0,1.0,False,winter,off_peak,off_peak,valid,2400.0,100.0,1.0
100.0,2,111111,2022-01-03,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-03,2022-01-03 02:00:00+02:00,2022-01-03 00:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,3.0,2.0,0.0,1.0,False,winter,off_peak,off_peak,valid,2400.0,100.0,1.0
100.0,3,111111,2022-01-03,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-03,2022-01-03 03:00:00+02:00,2022-01-03 01:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,3.0,3.0,0.0,1.0,False,winter,off_peak,off_peak,valid,2400.0,100.0,1.0
100.0,4,111111,2022-01-03,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-03,2022-01-03 04:00:00+02:00,2022-01-03 02:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,3.0,4.0,0.0,1.0,False,winter,off_peak,off_peak,valid,2400.0,100.0,1.0
100.0,5,111111,2022-01-03,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-03,2022-01-03 05:00:00+02:00,2022-01-03 03:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,3.0,5.0,0.0,1.0,False,winter,off_peak,off_peak,valid,2400.0,100.0,1.0
100.0,6,111111,2022-01-03,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-03,2022-01-03 06:00:00+02:00,2022-01-03 04:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,3.0,6.0,0.0,1.0,False,winter,off_peak,off_peak,valid,2400.0,100.0,1.0
100.0,7,111111,2022-01-03,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-03,2022-01-03 07:00:00+02:00,2022-01-03 05:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,3.0,7.0,0.0,1.0,False,winter,peak,peak,valid,2400.0,100.0,1.0
100.0,8,111111,2022-01-03,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-03,2022-01-03 08:00:00+02:00,2022-01-03 06:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,3.0,8.0,0.0,1.0,False,winter,peak,peak,valid,2400.0,100.0,1.0
100.0,9,111111,2022-01-03,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-03,2022-01-03 09:00:00+02:00,2022-01-03 07:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,3.0,9.0,0.0,1.0,False,winter,peak,peak,valid,2400.0,100.0,1.0
100.0,10,111111,2022-01-03,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-03,2022-01-03 10:00:00+02:00,2022-01-03 08:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,3.0,10.0,0.0,1.0,False,winter,peak,shoulder,valid,2400.0,100.0,1.0
100.0,11,111111,2022-01-03,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-03,2022-01-03 11:00:00+02:00,2022-01-03 09:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,3.0,11.0,0.0,1.0,False,winter,peak,shoulder,valid,2400.0,100.0,1.0
100.0,12,111111,2022-01-03,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-03,2022-01-03 12:00:00+02:00,2022-01-03 10:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,3.0,12.0,0.0,1.0,False,winter,peak,shoulder,valid,2400.0,100.0,1.0
100.0,13,111111,2022-01-03,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-03,2022-01-03 13:00:00+02:00,2022-01-03 11:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,3.0,13.0,0.0,1.0,False,winter,peak,shoulder,valid,2400.0,100.0,1.0
100.0,14,111111,2022-01-03,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-03,2022-01-03 14:00:00+02:00,2022-01-03 12:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,3.0,14.0,0.0,1.0,False,winter,peak,shoulder,valid,2400.0,100.0,1.0
100.0,15,111111,2022-01-03,ext_device_1,"[100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.
 100. 100. 100. 100. 100. 100. 100. 100. 100. 100.]",60min,2022-01-03,2022-01-03 15:00:00+02:00,2022-01-03 13:00:00+00:00,Europe/Vilnius,ext_device_1,2022.0,1.0,3.0,15.0,0.0,1.0,False,winter,peak,shoulder,valid,2400.0,100.0,1.0
